Tipo 0
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos Inf.Indire   Enfermos Hospitaliz
 35          6         41          0          3          0          0          0         31          4
 36          6         41          0          3          0          0          0         33          5
 37          5         42          0          3          0          0          0         35          5
 38          5         40          0          5          0          0          0         34          4
 39          5         39          0          6          0          0          0         35          3
 40          5         39          0          6          0          0          0         35          3
 41          5         39          0          6          0          0          0         36          3
 42          4         37          0          9          0          0          0         35          3
 43          4         37          0          9          0          0          0         35          3
 44          4         37          0          9          0          0          0         36          3
 45          4         37          0          9          0          0          0         36          3
 46          4         36          0         10          0          0          0         35          3
 47          4         33          0         12          0          1          0         32          3
 48          4         31          0         14          0          1          0         30          3
 49          2         31          0         16          0          1          0         29          3
 50          2         24          0         23          0          1          0         22          3
 51          2         23          0         24          0          1          0         21          3
 52          2         22          0         25          0          1          0         20          2
 53          2         20          0         27          0          1          0         18          1
 54          2         19          0         28          0          1          0         17          1
 55          2         17          0         30          0          1          0         15          1
 56          2         16          0         31          0          1          0         16          2
 57          2         15          0         32          0          1          0         15          2
 58          2         13          0         34          0          1          0         13          2
 59          2         10          0         37          0          1          0         10          1
 60          2          9          0         38          0          1          0          9          1
 61          2          7          0         40          0          1          0          7          1
 62          2          6          0         41          0          1          0          6          1
 63          2          5          0         42          0          1          0          5          1
 64          2          4          0         43          0          1          0          4          1
 65          2          4          0         43          0          1          0          4          1
 66          2          4          0         43          0          1          0          4          1
 67          2          4          0         43          0          1          0          4          1
 68          2          2          0         45          0          1          0          2          1
 69          2          2          0         45          0          1          0          2          1
 70          2          2          0         45          0          1          0          2          1
 71          2          2          0         45          0          1          0          2          1
 72          2          2          0         45          0          1          0          2          1
 73          2          2          0         45          0          1          0          2          1
 74          2          1          0         46          0          1          0          1          1
 75          2          1          0         46          0          1          0          1          1
 76          2          1          0         46          0          1          0          1          1
 77          2          1          0         46          0          1          0          1          1
 78          2          1          0         46          0          1          0          1          1
 79          2          0          0         47          0          1          0          0          0
 80          2          0          0         47          0          1          0          0          0
