 82      45848        622          0       3329          0        199      38,65       1,16       25,5       1,08       1694       2447       1640        791         14        550         55          0
 83      45839        592          0       3365          0        202      38,53       1,16       25,5       1,08       1700       2449       1628        805         15        525         53          0
 84      45831        564          0       3400          0        204      38,41       1,16       25,5       1,07       1707       2451       1615        820         15        503         51          0
 85      45822        538          0       3433          0        206      38,30       1,16       25,5       1,07       1714       2453       1604        834         15        480         49          0
 86      45813        511          0       3466          0        208      38,18       1,16       25,5       1,07       1720       2456       1592        847         15        456         47          0
 87      45805        489          0       3495          0        209      38,07       1,16       25,5       1,07       1726       2458       1582        859         15        436         44          0
 88      45798        465          0       3524          0        211      37,97       1,16       25,6       1,06       1731       2459       1572        872         15        415         42          0
 89      45792        441          0       3552          0        213      37,86       1,16       25,6       1,06       1736       2461       1560        885         15        394         40          0
 90      45785        418          0       3580          0        215      37,76       1,16       25,6       1,06       1740       2463       1549        897         15        372         39          0
 91      45778        397          0       3607          0        216      37,66       1,16       25,6       1,05       1746       2464       1539        909         16        353         37          0
 92      45772        375          0       3633          0        217      37,56       1,16       25,6       1,05       1751       2465       1528        921         16        334         35          0
 93      45768        354          0       3658          0        219      37,47       1,16       25,6       1,05       1754       2467       1517        933         16        316         33          0
 94      45762        332          0       3683          0        220      37,37       1,16       25,6       1,05       1758       2468       1507        944         16        297         31          0
 95      45757        314          0       3706          0        221      37,28       1,16       25,7       1,05       1762       2470       1499        954         16        279         29          0
 96      45752        296          0       3728          0        222      37,19       1,16       25,7       1,04       1765       2471       1491        963         16        263         27          0
 97      45747        278          0       3749          0        223      37,10       1,16       25,7       1,04       1769       2473       1483        973         16        248         25          0
 98      45743        262          0       3768          0        225      37,02       1,16       25,7       1,04       1771       2474       1476        981         16        233         24          0
 99      45737        248          0       3787          0        226      36,93       1,16       25,7       1,04       1775       2477       1471        989         16        218         23          0
100      45733        234          0       3805          0        227      36,85       1,16       25,7       1,03       1777       2479       1466        996         16        204         21          0
101      45728        220          0       3822          0        228      36,77       1,16       25,7       1,03       1779       2481       1461       1003         16        191         20          0
102      45723        209          0       3838          0        229      36,69       1,16       25,7       1,03       1781       2484       1457       1009         16        179         18          0
103      45719        197          0       3853          0        230      36,61       1,16       25,7       1,03       1783       2487       1455       1014         17        168         17          0
104      45713        189          0       3865          0        231      36,53       1,16       25,7       1,03       1785       2490       1453       1019         17        159         16          0
105      45707        181          0       3878          0        231      36,46       1,16       25,8       1,02       1788       2494       1452       1024         17        151         15          0
106      45702        174          0       3890          0        232      36,38       1,16       25,8       1,02       1790       2496       1451       1028         17        143         14          0
107      45698        165          0       3902          0        233      36,31       1,16       25,8       1,02       1792       2498       1449       1031         17        135         13          0
108      45695        159          0       3912          0        233      36,24       1,16       25,8       1,02       1794       2500       1448       1034         17        130         13          0
109      45691        152          0       3921          0        234      36,17       1,16       25,8       1,02       1797       2501       1446       1037         17        124         12          0
110      45689        145          0       3930          0        235      36,10       1,16       25,8       1,02       1798       2501       1444       1039         17        121         11          0
111      45686        139          0       3938          0        235      36,03       1,16       25,8       1,02       1800       2502       1443       1041         17        119         11          0
112      45685        133          0       3945          0        236      35,97       1,16       25,8       1,02       1802       2502       1441       1044         17        115         11          0
